Year,age0,age1,age2,age3,age4,age5,age6
2000,1355,692,606,305,73,2,0
2001,3575,2812,1832,680,268,169,53
2002,2746,3017,3245,2374,823,56,2
2003,1423,2782,3280,2674,1087,112,3
2004,3644,3990,4124,2330,993,198,18
2005,876,2115,3200,2078,581,76,9
2006,1904,2850,2955,1827,636,66,5
2007,1910,3601,3894,2334,932,148,16
2008,3391,3249,3060,2126,927,140,10
2009,3771,7320,7935,3611,909,64,21
2010,3041,3763,3300,1703,671,160,38
2011,3833,4608,4207,2866,932,64,12
2012,3355,5977,6580,4922,1697,134,12
2013,2126,4219,5324,3068,1022,117,20
2014,1089,2928,3493,2107,748,71,4
2015,1466,5453,7614,4717,1459,129,16
2016,2037,5917,8386,4693,1609,206,23
2017,5490,7449,8673,6081,2379,347,57
2018,6456,11384,13776,8496,2975,374,33
2019,1191,2761,4066,3676,1521,215,23
2020,1465,2163,2736,2307,937,123,15
2021,898,2113,2529,1826,761,113,10
2022,4107,2861,2971,2783,1589,344,36
2023,3565,3452,2951,2415,1380,373,69
2024,4034,5246,5721,3734,1517,239,26
