Year,Month,F.L(cm),B.W(g),Mat.
2005,2,35.3,564.8,1
2005,2,33.1,541.1,1
2005,2,29.1,289.5,1
2005,2,33.2,468.2,1
2005,2,37.9,904.2,1
2005,2,33.9,607.4,1
2005,2,31.9,427.6,1
2005,2,33.3,488.6,1
2005,2,31.6,487.6,1
2005,2,38.8,422.5,1
2005,2,33.2,464.9,1
2005,2,32,418.2,1
2005,2,32,454.9,1
2005,2,30,347,1
2005,2,31.2,409.5,1
2005,2,29,311.1,1
2005,2,30,326.1,1
2005,2,29.7,300.4,1
2005,2,30.1,348.7,1
2005,2,28.3,279.5,1
2005,2,29.2,294,1
2005,2,29.9,340,1
2005,2,27.8,285.2,1
2005,2,29,302.2,1
2005,2,38,666.2,1
2005,2,31.7,404.4,1
2005,2,37,730,1
2005,2,41.2,1040.8,1
2005,2,32,472.4,1
2005,2,30.4,370.1,1
2005,2,36.1,645.1,1
2005,2,34.1,516.5,1
2005,2,36.2,839.1,1
2005,2,29.5,280.2,1
2005,2,33.1,486.3,1
2005,2,28,249.7,1
2005,2,26,248.2,1
2005,2,26,213.5,1
2005,2,28.2,251,1
2005,2,23.2,120.5,1
2005,2,24.8,255.3,1
2005,2,26.3,196,1
2005,2,28.2,217.8,1
2005,2,27.8,232.3,1
2005,2,25.7,199.5,1
2005,3,31.8,461,1
2005,3,33.5,531.8,1
2005,3,34.1,532.8,1
2005,3,33,500.4,1
2005,3,34,519,1
2005,3,33.5,500.4,1
2005,3,32,447,1
2005,3,31.4,402.1,1
2005,3,33,528.3,1
2005,3,34.5,549.7,1
2005,3,32.8,458.9,1
2005,3,35.9,627.6,1
2005,3,33.5,492.4,1
2005,3,30,357.9,1
2005,3,28,237.8,1
2005,3,27.7,232.9,1
2005,3,27,223.7,1
2005,3,26,199.4,1
2005,3,28.4,241.9,1
2005,3,28.2,244.1,1
2005,4,41.3,1051.5,1
2005,4,34.3,565.3,1
2005,4,33.2,513.1,1
2005,4,36.7,640.9,1
2005,4,32.9,453.6,1
2005,4,32.2,461.3,1
2005,4,32.1,478.7,1
2005,4,34,459.3,1
2005,5,33.3,547.5,1
2005,5,32.1,466,1
2005,5,32.4,480.5,1
2005,5,33,581.4,1
2005,5,33.9,583,1
2005,5,33.1,510.1,1
2005,5,31.2,432.6,1
2005,5,32.3,516.7,1
2005,5,35.1,557.7,1
2005,5,32.8,468.4,1
2005,5,32.4,430.1,1
2005,5,33.2,536.4,1
2005,5,32.8,513.2,1
2005,5,31.8,452.4,1
2005,5,32.7,421.1,1
2005,5,29.58,370,1
2005,5,32.1,390.8,1
2005,5,28.9,330.4,1
2005,5,30.4,413.6,1
2005,5,32,459.1,1
2005,5,29.2,350.1,1
2005,5,29.8,372.8,1
2005,5,30.9,421,1
2005,5,29.6,338.1,1
2005,5,31.3,392.8,1
2005,5,29.1,329,1
2005,5,29.1,364.1,1
2005,5,32,269.9,1
2005,5,29.9,379,1
2005,5,31.5,394.9,1
2005,5,34.5,557.8,1
2005,5,30.3,390.9,1
2005,5,30.8,415,1
2005,5,30.2,398.9,1
2005,5,30.5,402.9,1
2005,6,36.2,760.9,1
2005,6,33.8,528.2,1
2005,6,34.4,524.7,1
2005,6,34.2,515.3,1
2005,6,33,535.7,1
2005,6,31.5,445.2,1
2005,6,30.8,357.1,1
2005,6,31,381.4,1
2005,6,35.4,350.1,1
2005,6,32.4,430.3,1
2005,6,32.8,491.3,1
2005,6,30.4,388.4,1
2005,6,29.8,328.7,1
2005,7,35.3,680.1,1
2005,7,35.3,658.2,1
2005,7,33.3,645.1,1
2005,7,35.2,621.9,1
2005,7,35.4,660.2,1
2005,7,36.4,674.4,1
2005,7,35.8,690.1,1
2005,7,34.8,647.8,1
2005,7,34.9,591.6,1
2005,7,34.8,516.6,1
2005,7,34.5,612.8,1
2005,7,33.8,619.6,1
2005,7,33.6,553.4,1
2005,7,32.4,468.5,1
2005,7,32,435.9,1
2005,7,31.4,410.2,1
2005,7,33.5,537.7,1
2005,7,30.6,428,1
2005,7,32.2,448.9,1
2005,7,33.2,481.4,1
2005,7,32.4,452.6,1
2005,7,31.2,393.9,1
2005,7,32.5,394.2,1
2005,7,33.5,491,1
2005,7,33.6,504.3,1
2005,8,34.3,595.2,1
2005,8,36.2,734.8,1
2005,8,33.8,575.8,1
2005,8,34.5,613.5,1
2005,8,35.2,585.1,1
2005,8,35.5,663.1,1
2005,8,38.7,771.3,1
2005,8,34.5,640.6,1
2005,8,35.3,674.8,1
2005,8,35.2,695.2,1
2005,8,34.9,598.6,1
2005,8,36.2,658.5,1
2005,8,33.8,669.5,1
2005,8,35.2,713.8,1
2005,8,35.6,580.8,1
2005,8,35.3,638.6,1
2005,8,35.3,640.7,1
2005,8,34.8,617.8,1
2005,8,33.7,416.3,1
2005,8,35.4,624.2,1
2005,8,34.7,663.9,1
2005,8,35.2,646.3,1
2005,8,31.4,412.8,1
2005,8,31.3,421.5,1
2005,8,31,391.8,1
2005,8,31.5,444.5,1
2005,8,33.4,550.1,1
2005,8,32.5,469.6,1
2005,8,35,600.3,1
2005,8,30.9,409.7,1
2005,8,30.9,409.1,1
2005,8,31.9,465.1,1
2005,8,33.6,528.7,1
2005,8,31.7,418.1,1
2005,8,32.6,456.5,1
2005,8,32.3,457.7,1
2005,8,31.3,418.1,1
2005,8,31.6,421.1,1
2005,8,31.6,433.7,1
2005,9,35.5,687.8,1
2005,9,34.1,671.2,1
2005,9,34.2,564.7,1
2005,9,35.4,695.2,1
2005,9,35,611.9,1
2005,9,34.9,592,1
2005,9,35,715.5,1
2005,9,35.4,681.8,1
2005,9,36.1,738.4,1
2005,9,25.9,234.8,1
2005,9,27.2,268.9,1
2005,9,28.9,321.6,1
2005,9,28.1,281.4,1
2005,11,33.4,526.2,1
