"Year","East","South","West","Total"
2000,0.157197790243073,0.115907132811129,0.169889494622072,0.122417809141365
2001,0.144346475750421,0.194005813470111,0.260157691571492,0.214414648122202
2002,0.0810344827586207,0.150245080811155,0.19157330060363,0.162239797278244
2003,0.0706317348029942,0.139448893834362,0.307173318764689,0.15219812699872
2004,0.237603442456969,0.180117756853131,0.3261952025417,0.232192081792932
2005,0.10637103844092,0.141669488953261,0.14270683965648,0.139498762036881
2006,0.146628269800822,0.0903144511060575,0.174007389220709,0.111009614202189
2007,0.122729535358213,0.120818391183608,0.278699306985544,0.148372513843628
2008,0.0876877285483459,0.22249774562848,0.345603321934538,0.236548827085256
2009,0.191132018120134,0.198697022690931,0.181209245680359,0.196565778621898
2010,0.174664619658588,0.16232448663046,0.34745625723585,0.192271971944419
2011,0.214611508985966,0.200950932325261,0.319008650923545,0.212372578646617
2012,0.183654511479899,0.147770988870059,0.17942718461927,0.155845721338453
2013,0.111523289402419,0.14793353528923,0.267823073350245,0.158756863086467
2014,0.296029428571429,0.168234680489536,0.205787777596152,0.18747645168717
2015,0.332548189141337,0.227319070909717,0.271438677647334,0.262134817678668
2016,0.250523498673782,0.312802848650199,0.284524415388484,0.301712390761548
2017,0.174787993847928,0.180113979932428,0.132669637149112,0.174634946888345
2018,0.326309735704312,0.286723302574867,0.321389049381602,0.294269785366251
2019,0.0954175480016382,0.147396843667226,0.189406939169617,0.150691893857429
2020,0.0784772248292916,0.0967372438670279,0.16164532967033,0.116805026113326
2021,0.0543272520295977,0.202592229381304,0.215717013808173,0.192986829135822
2022,0.0533704052780396,0.185472003305111,0.0885501268551891,0.147534775921209
2023,0.104830037755167,0.12603097126404,0.0980529264283156,0.117061167432505
2024,0.148599000361033,0.0679601244009381,0.0644642558101203,0.0874481902298837
