Year,East,South,West,Total
2000,4623.973,46892.201,5765.2,57281.374
2001,17056.99,30334.943,65239.224,112631.157
2002,1875.3,45913.244,36211.76,84000.304
2003,1717.34,60530.163,14899.749,77147.252
2004,7040.19,51724.056,51334.97,110099.216
2005,3373.132,58345.304,6962.524,68680.96
2006,5639.03,29269.017,14741.558,49649.605
2007,8481.47,46900.008,26662.884,82044.362
2008,3093.36,79450.385,32542.7,115086.445
2009,9746.395,82260.17,7142,99148.565
2010,4778.3,35895.95,15906.2,56580.45
2011,11117.52,66234.633,10915.2,88267.353
2012,9926.71,54846.828,11367.071,76140.609
2013,4941.82,54840.145,14992.2,74774.165
2014,10361.03,46930.41,17624.9,74916.34
2015,35874.301,54795.944,23236.508,113906.753
2016,15773.21,110180.737,11315.536,137269.483
2017,21819.834,70582.346,6848.274,99250.454
2018,19396.177,118013.591,14240.106,151649.874
2019,3960.687,31885.917,14712.184,50558.788
2020,2792.769,19389.336,19416.837,41598.942
2021,1813.498,56377.163,18559.429,76750.09
2022,5152.966,70931.542,8132.178,84216.686
2023,21296.327,63993.612,10676.689,95966.628
2024,31692.749,33324.247,9777.616,74794.612
