10.5cm,11.5cm,12.5cm,13.5cm,14.5cm,15.5cm,16.5cm,17.5cm,18.5cm,19.5cm,20.5cm,21.5cm,22.5cm,23.5cm,24.5cm,25.5cm,26.5cm,27.5cm,28.5cm,29.5cm,30.5cm,31.5cm,32.5cm,33.5cm,34.5cm,35.5cm,36.5cm,37.5cm,38.5cm,39.5cm,40.5cm,41.5cm,42.5cm,43.5cm,44.5cm,45.5cm,46.5cm,47.5cm,48.5cm,49.5cm,50.5cm,51.5cm,52.5cm
0,0,0,0,0,52,59,57,54,64,64,194,171,235,203,279,244,143,122,218,216,231,192,108,68,38,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,82,55,160,153,74,42,128,271,410,561,762,1019,1023,1031,792,639,492,448,333,256,158,102,43,36,18,24,41,70,63,77,36,12,12,0,0,0,0,0,0
0,0,3,8,78,77,38,51,32,39,91,326,408,361,446,602,920,1058,1206,913,988,1011,914,880,784,558,265,130,53,14,8,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,19,48,115,218,354,523,723,943,1056,993,1049,1060,969,959,769,692,477,211,131,33,7,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,36,94,124,118,144,304,468,653,777,883,1102,1314,1347,1349,1381,1318,1144,880,547,349,288,195,219,152,62,38,6,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,3,26,81,162,256,302,363,518,736,994,1107,1246,1179,899,533,200,105,86,43,27,19,14,19,15,0,1,0,0,0,0,0,0,0
0,0,0,1,2,7,27,37,35,25,42,89,193,354,425,506,761,1107,1114,984,881,847,754,690,612,332,201,91,64,40,15,5,2,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,20,62,107,131,274,374,708,981,1183,1463,1345,1272,1124,1065,763,642,553,306,161,116,84,48,18,18,9,4,2,0,0,0,0,0,0,0
0,6,33,67,115,148,89,85,146,100,105,142,215,425,769,1091,1087,815,1062,899,948,1008,1005,612,580,547,332,199,146,60,32,13,17,4,3,0,1,0,0,0,0,0,0
0,0,0,0,0,8,10,26,42,63,89,112,142,380,973,1712,2070,2123,2579,2658,2826,2707,2178,1352,796,415,163,82,46,17,18,9,9,11,2,7,6,0,1,0,0,0,0
0,0,0,1,0,0,0,1,3,3,19,89,343,667,1035,1078,1076,1127,1286,1051,1142,964,812,564,423,294,266,143,76,40,39,37,47,29,33,9,6,6,0,0,0,1,0
0,0,1,6,4,60,55,136,100,72,76,122,330,514,1071,1419,1529,1379,1359,1268,1464,1221,1205,1020,1027,595,280,117,40,23,10,4,5,0,3,3,2,2,1,0,1,0,0
0,0,0,0,0,0,0,1,24,25,44,39,124,434,1103,1608,1700,1971,1901,1898,1875,2313,2245,1904,1306,1085,569,304,135,38,14,5,3,2,2,3,4,0,0,0,0,0,0
0,0,0,0,0,0,0,4,5,1,13,62,182,352,557,800,1011,1373,1538,1511,1705,2108,1727,1101,585,526,288,223,102,52,28,11,13,6,5,3,2,3,2,1,0,0,0
0,0,0,0,0,0,0,0,0,1,3,16,38,54,179,499,819,1055,1242,1081,974,1214,1079,749,468,432,258,159,73,23,16,5,2,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,3,11,30,45,85,195,523,984,1752,2707,2543,2205,2789,2187,2018,1086,819,435,202,115,66,26,15,3,2,0,3,2,2,1,0,0,0,0
0,0,0,0,0,1,13,25,29,30,40,71,106,264,340,801,935,1612,2489,3025,2649,3436,2365,1690,903,849,482,300,190,132,48,20,14,5,4,5,0,1,1,0,0,0,0
0,0,0,0,1,0,0,10,50,133,172,350,656,1123,1116,1855,1859,2493,2629,2478,2547,3380,2590,2326,1224,1440,873,522,263,133,97,51,35,46,15,18,3,1,0,0,0,1,0
0,0,0,0,1,0,2,11,16,77,194,506,907,1134,1048,1760,2416,4167,5356,4360,3770,4326,4208,3810,1741,1451,864,577,424,218,84,34,13,13,8,2,2,0,1,0,0,0,0
0,0,0,0,1,9,23,26,34,18,35,65,121,196,259,352,321,591,1200,1587,1311,1211,1415,1386,1045,1001,565,286,164,91,58,39,23,13,3,1,1,3,1,0,0,0,0
0,0,0,0,1,0,0,0,0,12,25,57,162,363,457,500,416,521,705,903,927,964,896,922,552,585,328,218,91,56,57,11,8,7,3,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,18,59,119,170,413,494,707,852,852,768,831,709,727,430,430,262,190,96,57,34,12,13,3,1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,3,20,51,126,313,605,728,826,863,862,660,761,942,886,917,1047,885,822,800,827,571,432,308,195,120,64,34,19,9,2,1,0,0,0,0,0,0
0,0,0,0,0,0,5,7,32,73,160,290,421,681,921,1155,1187,1021,959,939,909,870,843,780,692,568,507,388,267,186,117,92,62,42,20,11,9,5,3,1,0,0,1
0,0,0,0,0,2,4,12,21,30,148,242,462,853,1128,1170,1441,1383,1704,1875,2126,1903,1615,1303,1059,673,541,337,214,148,64,26,18,8,6,1,3,2,0,0,0,0,0
