Fork_length(cm),the number of eggs
28.7193,1.15E+05
29.094,1.65E+05
29.9035,1.13E+05
30.119,1.17E+05
30.7822,1.68E+05
31.1966,1.72E+05
32.7906,1.20E+05
32.8532,3.09E+05
33.5425,2.79E+05
33.7723,3.05E+05
33.7862,1.92E+05
33.9707,3.17E+05
34.2561,3.10E+05
34.8305,2.96E+05
35.1717,3.08E+05
35.1752,1.77E+05
35.3597,2.43E+05
35.5476,3.51E+05
35.7426,2.11E+05
35.934,3.14E+05
36.035,2.93E+05
36.3727,2.49E+05
36.4493,3.37E+05
36.4701,3.49E+05
36.7347,3.01E+05
36.9366,3.26E+05
37.135,3.76E+05
37.4309,2.58E+05
37.8522,3.86E+05
38.155,2.49E+05
38.5345,5.32E+05
38.7224,5.68E+05
40.0383,3.38E+05
41.3472,4.65E+05
