length(cm),weight(g)
34,555.5
34,543
34.7,556.1
34.5,558
35.8,611.8
32,421.8
35.3,597.7
32,464.2
36,567.9
33.4,429.1
32.8,469.9
33.2,453.8
35.3,561
33,472.4
33,487
29.1,354.3
34.7,563.4
33.2,490.1
31.8,450.8
34.9,592.3
35.4,629.8
33.2,588.9
34.3,549.1
33,534.1
31.2,531.8
35.2,570.3
34.7,603.7
33.2,568
33,523.4
34.1,535.5
33,437
32.9,595.8
35.8,536.6
34,526.8
34.4,572.2
33.8,520.2
35,584.1
34.5,520.1
34,473.9
35.3,606
28.3,255.1
27.7,268.2
29.5,312.9
27.8,260.4
29.1,282
25.4,201.7
27.4,228.3
27,217
28.8,317.6
29,278.4
27.3,244.8
26.4,221.2
26.8,221.5
28.3,265.3
27.1,239.5
28.9,292.5
29.1,310.14
29.1,303.6
27.3,243.2
28.7,292.3
31,383
32.1,441.1
33,466.3
30.4,381.4
30.8,386.7
30,314.8
31,371.1
31.2,431.8
31.9,465.2
34.4,360.6
32.3,495.1
31.9,456.4
31,394.2
31.3,404.4
29.8,323.3
31.1,430.4
33.3,383.9
31.9,414.3
33,467.8
30.2,365.8
31.1,830.8
35.3,564.8
33.1,541.1
29.1,289.5
33.2,468.2
33.2,549.5
37.9,904.2
33.9,607.4
36.1,656.9
32.2,450.5
31.9,427.6
33.3,488.6
31.6,487.6
38.8,422.5
33.2,464.9
33.3,517.1
32,418.2
34.2,558.7
36.7,428.1
32,454.9
29.7,313.6
29.3,317.3
30,347
31.2,409.5
29.2,267
29,311.1
30,326.1
29.7,300.4
30.1,348.7
30.5,328.2
28.3,279.5
29.2,294
29,292.9
29.9,340
30,326
30.2,354.3
29,287.3
29.4,312.8
27.8,285.2
29,302.2
33,497.1
38,666.2
31.7,404.4
33.2,486.7
31.4,455
37,730
34.8,599
41.2,1040.8
32,472.4
32.2,460.6
30.4,370.1
36.1,645.1
34.1,516.5
34,538.2
36.2,839.1
29.5,280.2
30.7,380.3
33.1,486.3
34.5,570.3
28,249.7
26,248.2
26,213.5
23,145.2
28.2,251
23,123.7
26.8,213.9
23.2,120.5
27,224.5
24.8,255.3
21.3,190.6
26.3,196
25.7,198.4
28.2,217.8
27.8,232.3
25.7,199.5
23,234.7
23.8,141.4
24.5,155.9
22.8,119.2
33,483.3
31.5,424.4
31.5,391.6
31.8,461
34.2,511.8
33.5,531.8
34.1,532.8
33,500.4
34,519
33.5,500.4
34.6,533.8
32,447
31.8,434.7
34.8,639.3
31.4,402.1
33,528.3
33.3,516.6
32.9,534.6
34.8,424.5
32,448.3
34.5,549.7
33.8,525.1
34.5,518.8
33.5,500.7
32.8,458.9
33.4,546.2
35.9,627.6
33.5,492.4
34.5,567.4
33,522.4
35.3,580.8
31,411
34,527.4
